DateTime,Time Offset,SEM ID,ECG heart rate,HR Confidence,Belt Breathing rate,Breathing rate confidence,Lead off,Belt off,Skin temperature (IR),Body position,Ambulation,PWI,Event Count
8/12/2013 07:09:16.453,2599,01312035 EQ-02,10,100,0,90,1,1,20.5,Side,MovingSlowly,Blue,0,
8/12/2013 07:09:31.453,2614,01312035 EQ-02,25.8,76,0,90,1,1,20.8,Upright,MovingSlowly,Blue,0,
8/12/2013 07:09:46.453,2629,01312035 EQ-02,102,70,0,90,0,1,23.9,Upright,MovingSlowly,Blue,0,
8/12/2013 07:10:01.453,2644,01312035 EQ-02,214,85,7,90,0,1,31.3,Upright,MovingSlowly,Blue,0,
8/12/2013 07:10:16.453,2659,01312035 EQ-02,244,38,11,77,0,1,30.9,Upright,Stationary,Blue,0,
8/12/2013 07:10:31.453,2674,01312035 EQ-02,236,62,14,73,0,1,30.7,Upright,MovingSlowly,Blue,0,
8/12/2013 07:10:46.453,2689,01312035 EQ-02,250,32,18.6,77,0,1,30.6,Upright,MovingSlowly,Blue,0,
8/12/2013 07:11:01.453,2704,01312035 EQ-02,252,37,16.4,80,0,1,30.9,Upright,MovingFast,Blue,0,
8/12/2013 07:11:16.453,2719,01312035 EQ-02,242,32,16.7,83,0,1,31.5,Upright,MovingSlowly,Blue,0,
8/12/2013 07:11:31.453,2734,01312035 EQ-02,252,32,19.8,78,0,1,31.6,Upright,MovingSlowly,Blue,0,
8/12/2013 07:11:46.453,2749,01312035 EQ-02,242,36,21.1,76,0,1,31.5,Upright,MovingSlowly,Blue,0,
8/12/2013 07:12:01.453,2764,01312035 EQ-02,202,31,24.4,72,0,1,32,Upright,Stationary,Blue,0,
8/12/2013 07:12:16.453,2779,01312035 EQ-02,190,27,28,75,0,1,32.1,Upright,MovingSlowly,Blue,0,
8/12/2013 07:12:31.453,2794,01312035 EQ-02,196,36,30.3,80,0,1,32.2,Upright,MovingSlowly,Blue,0,
8/12/2013 07:12:46.453,2809,01312035 EQ-02,210,39,30.5,78,0,1,32.4,Upright,Stationary,Blue,0,
8/12/2013 07:13:01.453,2824,01312035 EQ-02,216,40,30.8,78,0,1,32.3,Prone,Stationary,Blue,0,
8/12/2013 07:13:16.453,2839,01312035 EQ-02,204,28,32.6,75,0,1,32.5,Prone,MovingSlowly,Blue,0,
8/12/2013 07:13:31.453,2854,01312035 EQ-02,212,27,29.5,75,1,1,32.7,Upright,MovingSlowly,Blue,0,
8/12/2013 07:13:46.453,2869,01312035 EQ-02,240,34,29.3,71,1,1,32.3,Upright,MovingSlowly,Blue,0,
8/12/2013 07:14:01.453,2884,01312035 EQ-02,258,37,26,74,0,1,30.9,Upright,MovingFast,Blue,0,
8/12/2013 07:14:16.453,2899,01312035 EQ-02,242,32,22.5,80,0,1,31.5,Upright,MovingFast,Blue,0,
8/12/2013 07:14:31.453,2914,01312035 EQ-02,208,30,18.7,72,0,1,31.9,Upright,MovingSlowly,Blue,0,
8/12/2013 07:14:46.453,2929,01312035 EQ-02,176,18,18.1,65,0,1,31.6,Prone,Stationary,Blue,0,
8/12/2013 07:15:01.453,2944,01312035 EQ-02,193.9,24,19.8,63,0,1,32.5,Upright,Stationary,Blue,0,
